plot_id,plt_cn,x,y,year,time,county_fips,county,fia_unit,fia_unit_name,forested,proportion_forested,nonsamp_prop,agb_live_mg_ha,agb_live_c_mg_ha,agb_dead_mg_ha,tcc_mean
3371,889751603290487,-1944692.9591603028,2888452.271995033,2022,2022.6246575342466,53041,Lewis,7,Southwest,TRUE,1,0,279.59562042641767,140.4904018631537,17.326152732728417,81.83797454833984
3372,889751609290487,-1960815.2170944503,2901313.6404236048,2022,2022.6301369863013,53041,Lewis,7,Southwest,TRUE,0.792607,0,134.25273176653573,68.58133038387318,0,81.06556701660156
3373,750082367290487,-2040285.9428147904,2924853.2918788115,2023,2023.3123287671233,53041,Lewis,7,Southwest,TRUE,1,0,228.12205639709003,114.01498134455923,1.5365745134980515,59.311927795410156
3374,750082375290487,-2055636.210555065,2934248.4333637436,2023,2023.3753424657534,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,55.45248794555664
3375,823110755290487,-1977276.7857428782,2872303.009507374,2023,2023.6438356164383,53041,Lewis,7,Southwest,TRUE,1,0,582.0589593099357,297.94913569216726,15.06603625787625,80.69817352294922
3376,823110763290487,-1992799.8919507095,2876044.5967456456,2023,2023.5616438356165,53041,Lewis,7,Southwest,TRUE,1,0,781.0022263732296,401.099768994391,54.43671526471872,81.24930572509766
3377,823110764290487,-1965447.6441421304,2874030.9301450364,2023,2023.5260273972603,53041,Lewis,7,Southwest,TRUE,0.958771,0,101.59282750755868,49.946246739145096,5.3113735623434355,78.23331451416016
3378,823110765290487,-1952866.6218399063,2867973.2000184525,2023,2023.545205479452,53041,Lewis,7,Southwest,TRUE,1,0,203.36570930087345,101.81209265160363,33.38543368815972,76.43060302734375
3379,823110774290487,-2055346.0304770835,2902254.736089867,2023,2023.3671232876711,53041,Lewis,7,Southwest,TRUE,0.993786,0,227.13791398890837,117.18615895042257,3.0461203074000047,83.05554962158203
3380,823110775290487,-1938036.2148837317,2872371.2439418095,2023,2023.5835616438355,53041,Lewis,7,Southwest,TRUE,1,0,389.4807273602583,188.6590095295235,76.14660135916496,41.50728225708008
3381,823110783290487,-2030289.820855356,2898485.415198872,2023,2023.2904109589042,53041,Lewis,7,Southwest,TRUE,0.55634,0,110.92821680467179,56.95086874748315,16.14376968005173,48.24795913696289
3382,823110791290487,-2004415.9729445856,2891280.3659807295,2023,2023.6219178082192,53041,Lewis,7,Southwest,TRUE,1,0,225.72892114069137,110.77187991238064,1.6043248732496873,34.7313346862793
3383,823110792290487,-1975622.7022029744,2888017.0958398646,2023,2023.5232876712328,53041,Lewis,7,Southwest,TRUE,1,0,182.0754481090486,87.97449710715831,1.9859100894959092,61.52066421508789
3384,823110808290487,-1960939.5748952557,2889862.736173698,2023,2023.5287671232877,53041,Lewis,7,Southwest,TRUE,1,0,194.7294137325072,99.55810129935051,0.25099677057840425,79.21749114990234
3385,823110813290487,-2064280.6893254104,2926101.957192892,2023,2023.7342465753425,53041,Lewis,7,Southwest,TRUE,1,0,88.39968816868694,44.19452025954418,1.3343681909587848,52.62158203125
3386,823110814290487,-2059010.5283314981,2923605.903617335,2023,2023.6027397260275,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,62.63142776489258
3387,823110815290487,-2026724.1748023415,2913361.7346622655,2023,2023.676712328767,53041,Lewis,7,Southwest,TRUE,1,0,135.17916450666445,69.75244887277229,4.64895186776507,69.97441101074219
3388,823110824290487,-2000922.657748829,2910330.6649150597,2023,2023.7232876712328,53041,Lewis,7,Southwest,TRUE,1,0,690.3813844764895,351.6711602132064,19.895747038686395,76.9172592163086
3389,823110832290487,-1974726.5511757606,2907083.565841045,2023,2023.7232876712328,53041,Lewis,7,Southwest,TRUE,1,0,354.1896822164981,180.24588592846914,9.449144579741692,74.411834716796875
3390,823110840290487,-1986569.6449408375,2913386.7657259484,2023,2023.7150684931507,53041,Lewis,7,Southwest,TRUE,0.398649,0,0,0,0,66.37109375
3391,823110841290487,-1948492.720369688,2904214.3814514494,2023,2023.6438356164383,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,49.94032669067383
3392,823110855290487,-2064481.433414908,2943139.1258464446,2023,2023.8082191780823,53041,Lewis,7,Southwest,TRUE,1,0,60.86134460222835,30.386819455323945,0.3394071201032062,68.70288848876953
3393,823110801290487,-1951409.4347900026,2884242.15270561,2024,2024.7131147540983,53041,Lewis,7,Southwest,TRUE,0.75,0.25,240.7999088271195,124.16067716039817,59.1772926949929,80.69017791748047
3394,823110816290487,-1938446.1571709388,2888774.8100486845,2024,2024.7103825136612,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,47.48186111450195
3395,823110823290487,-2038617.2534802756,2922692.6653545876,2024,2024.879781420765,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,62.61627960205078
3396,273642824489998,-1657727.450508637,2956960.465107558,2016,2016.360655737705,53043,Lincoln,9,Inland Empire,FALSE,0,1,0,0,0,25.167577743530273
3397,345933388489998,-1691308.9790109722,2917229.815865665,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,0.723423957824707
3398,345933756489998,-1657834.070170729,2965495.4259417187,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,16.637741088867188
3399,345934126489998,-1694738.004875817,2899107.718973188,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,1.204107403755188
3400,345934206489998,-1680129.4910977208,2901016.2334007653,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,1.8358724117279053
3401,345934223489998,-1654053.8298329262,2896758.2451800923,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,1.5688915252685547
3402,345934249489998,-1705632.6305010668,2964374.7918302934,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,2.176752805709839
3403,345934314489998,-1651775.6925252527,2914877.1809843294,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,3.633448362350464
3404,345934430489998,-1665012.4534880603,2912331.540076291,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,3.7636561393737793
3405,345934468489998,-1714099.9802510617,2911178.7452478926,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,1.027438759803772
3406,345934472489998,-1677568.3776279695,2918944.5800117613,2016,2016.6666666666667,53043,Lincoln,9,Inland Empire,FALSE,0,0,0,0,0,2.0748252868652344
